Command,Description,Permissions
netstat,Display network connections and statistics,---r---w-
echo,Print text to standard output,r-xrwx-w-
uptime,Show how long the system has been running,-w--w-rwx
whereis,"Locate binary, source, and manual files",rwx---r--
cd,Change the current directory,r---w---x
pwd,Print the current working directory,rw----r-x
awk,Pattern scanning and text processing language,-wxrw-rwx
uptime,Show how long the system has been running,--xr-xrwx
uname,Print system information,-wx-w--w-
gzip,Compress files using gzip,-w--w-rw-
scp,Securely copy files between hosts,-wx-wx-w-
du,Estimate file or directory disk usage,r-xr---w-
wc,"Count lines, words, and bytes in files",r---w--w-
echo,Print text to standard output,r-x---r--
uniq,Report or filter out repeated lines,-wx-wxrwx
ls,List directory contents,--x-wx-w-
uniq,Report or filter out repeated lines,--xr---wx
filetransfer, Transfer files between hosts,rw-rw-rw-
pwd,Print the current working directory,-wx-w--w-
wc,"Count lines, words, and bytes in files",-w---xrw-
who,Show who is logged in,rwx-wx--x
scp,Securely copy files between hosts,-wx-w-rwx
ps,Display currently running processes,r-xr-x-w-
who,Show who is logged in,---r-x-w-
echo,Print text to standard output,rw-rw-r-x
head,Show the first lines of a file,rw---x---
head,Show the first lines of a file,r-x---r-x
tail,Show the last lines of a file,r-x-w--wx
more,Display file contents page by page,rwx-w-r-x
locate,Quickly find files by name using a database,rwx---rw-
chmod,Change file permissions,rwx---r--
touch,Create an empty file or update timestamps,-wx--xr--
uniq,Report or filter out repeated lines,r----x---
ping,Send ICMP echo requests to test connectivity,---rwxr-x
uniq,Report or filter out repeated lines,-wx--x-wx
ping,Send ICMP echo requests to test connectivity,-wx----wx
ls,List directory contents,r-xrwxr-x
cp,Copy files or directories,r-x--x---
kill,Send a signal to terminate a process,r--rw----
wget,Download files from the web,r-xr----x
locate,Quickly find files by name using a database,-w-r-x-wx
mkdir,Create a new directory,----wxrw-
gzip,Compress files using gzip,rw--w-rw-
uname,Print system information,r-x---rw-
netstat,Display network connections and statistics,-wxrwx---
sort,Sort lines of text files,r--rwxr-x
cd,Change the current directory,r----xrwx
gzip,Compress files using gzip,-wxr--r-x
unzip,Extract files from a zip archive,-wxrwx--x
more,Display file contents page by page,rwx--xrwx
curl,Transfer data to or from a server,rw-rw---x
gunzip,Decompress gzip-compressed files,r--r-x-w-
touch,Create an empty file or update timestamps,-wxr----x
netstat,Display network connections and statistics,r----x---
kill,Send a signal to terminate a process,-wx----wx
whoami,Print the current user name,r--r-x-wx
pwd,Print the current working directory,r-x--xr--
echo,Print text to standard output,-w--w-r-x
cat,Concatenate and display file contents,-wxrwxrwx
sed,Stream editor for filtering and transforming text,r---w--w-
kill,Send a signal to terminate a process,---r--r--
find,Search for files in a directory hierarchy,rw---x-w-
chmod,Change file permissions,r--rwxr--
netstat,Display network connections and statistics,r---wxr-x
mv,Move or rename files or directories,---rw----
ssh,Securely connect to a remote machine,--xrwx-wx
